604,718,17,79,25,normal
944,17,17,80,53,normal
865,115,17,443,25,normal
533,305,6,22,80,normal
849,192,17,22,80,normal
434,579,17,22,53,normal
596,793,6,79,68,normal
695,329,1,25,80,normal
714,447,17,68,22,normal
502,14,6,443,68,normal
830,75,6,20,443,normal
826,231,6,79,25,normal
89,629,17,80,20,normal
964,44,17,53,53,normal
324,175,17,22,23,normal
315,540,6,79,80,normal
129,574,17,53,80,normal
890,279,17,53,53,normal
684,374,17,443,23,normal
296,656,89,68,53,normal
356,501,6,23,23,normal
404,461,6,53,68,normal
841,120,6,53,79,normal
338,782,17,53,443,normal
400,514,6,443,53,normal
491,563,6,68,25,normal
88,949,17,20,443,normal
989,296,6,80,68,normal
515,825,1,25,23,normal
19,188,6,443,53,normal
319,42,6,25,25,normal
422,81,17,80,80,normal
351,201,6,20,53,normal
125,733,6,20,25,normal
511,128,6,22,80,normal
843,29,1,53,25,normal
685,447,17,20,22,normal
615,346,17,23,80,normal
428,161,6,53,53,normal
720,291,1,25,53,normal
726,304,6,79,80,normal
329,642,17,79,80,normal
756,670,17,53,443,normal
526,147,6,53,53,normal
65,488,17,53,80,normal
428,525,17,23,23,normal
659,708,89,53,79,normal
215,640,17,53,25,normal
991,621,17,23,25,normal
237,692,17,80,25,normal
870,514,6,53,80,normal
222,649,6,53,20,normal
174,265,17,80,53,normal
803,699,89,20,25,normal
576,610,17,22,53,normal
117,341,1,23,53,normal
228,142,6,20,53,normal
309,182,17,25,25,normal
594,566,17,80,80,normal
317,74,6,53,20,normal
304,235,6,80,80,normal
143,559,17,20,25,normal
42,532,17,25,20,normal
726,563,17,53,25,normal
551,364,17,22,53,normal
278,247,17,25,20,normal
761,675,6,68,23,normal
156,559,6,80,23,normal
342,761,6,53,53,normal
722,74,17,80,443,normal
777,944,6,80,23,normal
846,489,17,22,20,normal
413,998,6,53,23,normal
350,979,17,53,80,normal
100,877,6,443,23,normal
843,637,17,79,20,normal
278,547,6,443,53,normal
702,722,1,22,23,normal
905,735,6,20,443,normal
293,165,89,20,23,normal
149,465,17,25,23,normal
733,777,1,80,80,normal
71,933,17,25,22,normal
272,947,1,53,443,normal
900,807,6,80,53,normal
357,358,17,80,79,normal
605,5,6,68,80,normal
24,219,17,443,20,normal
132,235,6,25,53,normal
868,764,6,25,68,normal
784,338,17,80,68,normal
916,320,6,22,20,normal
813,644,17,80,79,normal
430,654,6,80,80,normal
82,826,17,22,443,normal
396,498,89,443,25,normal
762,181,17,80,25,normal
472,970,17,22,53,normal
401,8,6,22,20,normal
88,245,17,443,23,normal
347,512,89,80,443,normal
512,591,1,443,53,normal
666,726,17,79,53,normal
399,923,17,80,22,normal
630,921,1,20,443,normal
5,929,6,53,23,normal
679,613,17,20,80,normal
698,953,17,80,20,normal
30,654,6,443,53,normal
818,216,6,53,80,normal
512,617,1,22,20,normal
623,333,17,80,53,normal
385,234,17,23,22,normal
666,501,6,53,79,normal
379,672,6,22,23,normal
827,987,6,53,20,normal
365,979,6,53,53,normal
913,200,17,53,22,normal
741,71,17,22,443,normal
126,365,6,443,53,normal
815,971,6,80,68,normal
785,274,17,79,20,normal
144,371,17,53,443,normal
114,884,6,80,22,normal
806,650,1,80,443,normal
279,327,6,80,22,normal
857,908,17,25,25,normal
841,532,6,68,53,normal
160,632,6,25,80,normal
209,311,1,53,80,normal
366,958,6,53,22,normal
40,54,17,80,53,normal
13,318,17,22,22,normal
27,417,6,80,20,normal
13,566,6,25,53,normal
483,251,6,80,443,normal
640,143,17,23,20,normal
704,808,6,53,53,normal
576,259,6,53,22,normal
774,939,6,80,80,normal
614,780,6,20,22,normal
705,930,6,79,22,normal
470,829,17,79,23,normal
149,528,6,80,23,normal
73,504,6,23,53,normal
987,87,1,25,79,normal
580,376,6,68,53,normal
520,877,17,23,53,normal
572,247,89,23,20,normal
190,619,17,25,53,normal
859,526,6,25,25,normal
983,806,17,53,24,anomaly
99,609,89,68,80,normal
719,588,17,25,53,normal
553,30,17,79,443,normal
410,733,6,80,20,normal
207,194,17,20,25,normal
153,116,6,23,20,normal
243,469,17,80,25,normal
255,837,6,68,53,normal
925,548,1,443,80,normal
874,538,6,23,20,normal
657,600,6,443,80,normal
684,622,17,25,53,normal
310,231,17,68,443,normal
666,101,1,80,23,normal
765,535,6,443,53,normal
76,986,17,68,80,normal
428,796,17,80,20,normal
405,726,89,53,79,normal
884,322,17,22,20,normal
710,638,6,79,80,normal
690,689,17,443,80,normal
881,562,1,53,80,normal
117,297,6,23,23,normal
709,730,17,20,23,normal
242,409,17,79,22,normal
95,604,17,53,53,normal
228,713,6,23,53,normal
207,143,6,68,80,normal
237,305,17,23,79,normal
982,680,89,68,80,normal
778,173,1,20,68,normal
272,848,1,80,20,normal
846,943,6,80,443,normal
59,913,6,23,22,normal
183,521,6,25,80,normal
304,682,89,53,20,normal
395,142,17,23,80,normal
786,589,6,22,25,normal
516,166,6,53,23,normal
760,796,1,80,443,normal
318,808,6,443,68,normal
358,178,17,53,22,normal
299,853,1,80,53,normal
788,794,6,53,22,normal
633,588,6,25,80,normal
437,503,17,25,22,normal
851,76,17,53,53,normal
134,416,17,23,23,normal
53,365,6,80,80,normal
543,779,17,23,25,normal
170,760,17,23,22,normal
778,979,6,23,80,normal
719,336,6,22,80,normal
151,20,17,20,53,normal
800,663,1,25,80,normal
728,826,17,53,53,normal
944,581,17,443,80,normal
931,906,6,80,443,normal
780,400,6,443,22,normal
356,738,17,53,443,normal
145,138,6,53,79,normal
779,893,17,53,25,normal
772,741,6,79,22,normal
881,426,17,53,68,normal
922,286,6,443,22,normal
472,486,17,20,443,normal
611,859,17,53,53,normal
332,13,17,80,68,normal
759,959,17,68,79,normal
776,351,17,53,79,normal
750,545,89,20,53,normal
491,801,6,22,23,normal
912,426,6,80,80,normal
382,841,17,25,80,normal
913,829,17,53,23,normal
341,919,17,53,80,normal
457,293,17,53,53,normal
792,904,17,20,68,normal
150,165,6,25,80,normal
136,710,6,79,68,normal
704,198,6,443,23,normal
756,98,17,23,20,normal
347,953,6,53,22,normal
589,766,17,25,23,normal
48,892,6,80,53,normal
